10;316.19;0.44;15.52;3237761.55
20;316.19;0.65;19.46;6475523.11
30;316.19;0.55;20.36;9713284.66
40;316.19;0.49;20.74;12951046.21
50;316.19;0.37;21.01;16188807.76
10;316.19;0.50;15.87;3237761.55
20;316.19;0.51;19.30;6475523.11
30;316.19;0.50;20.43;9713284.66
40;316.19;0.38;20.75;12951046.21
50;316.19;0.33;21.04;16188807.76
10;316.19;0.50;15.95;3237761.55
20;316.19;0.60;19.38;6475523.11
30;316.19;0.36;20.23;9713284.66
40;316.19;0.40;20.74;12951046.21
50;316.19;0.44;21.04;16188807.76
10;316.19;0.50;16.20;3237761.55
20;316.19;0.55;19.47;6475523.11
30;316.19;0.37;20.33;9713284.66
40;316.19;0.53;20.74;12951046.21
50;316.19;0.34;21.02;16188807.76
10;316.19;0.49;15.33;3237761.55
20;316.19;0.60;19.52;6475523.11
30;316.19;0.50;20.35;9713284.66
40;316.19;0.47;20.76;12951046.21
50;316.19;0.38;21.00;16188807.76
10;316.19;0.50;15.50;3237761.55
20;316.19;0.50;19.49;6475523.11
30;316.19;0.47;20.34;9713284.66
40;316.19;0.43;20.82;12951046.21
50;316.19;0.30;21.02;16188807.76
10;316.19;0.49;15.96;3237761.55
20;316.19;0.59;19.37;6475523.11
30;316.19;0.61;20.29;9713284.66
40;316.19;0.43;20.74;12951046.21
50;316.19;0.37;21.02;16188807.76
10;316.19;0.49;15.58;3237761.55
20;316.19;0.50;19.20;6475523.11
30;316.19;0.56;20.40;9713284.66
40;316.19;0.38;20.75;12951046.21
50;316.19;0.36;21.02;16188807.76
10;316.19;0.50;15.99;3237761.55
20;316.19;0.56;19.42;6475523.11
30;316.19;0.67;20.39;9713284.66
40;316.19;0.38;20.79;12951046.21
50;316.19;0.34;21.03;16188807.76
10;316.19;0.49;15.63;3237761.55
20;316.19;0.63;19.44;6475523.11
30;316.19;0.50;20.24;9713284.66
40;316.19;0.45;20.67;12951046.21
50;316.19;0.39;21.04;16188807.76
10;316.19;0.50;16.18;3237761.55
20;316.19;0.42;19.19;6475523.11
30;316.19;0.47;20.39;9713284.66
40;316.19;0.43;20.79;12951046.21
50;316.19;0.34;21.06;16188807.76
10;316.19;0.50;16.02;3237761.55
20;316.19;0.59;19.32;6475523.11
30;316.19;0.54;20.33;9713284.66
40;316.19;0.37;20.71;12951046.21
50;316.19;0.37;21.01;16188807.76
10;316.19;0.50;16.07;3237761.55
20;316.19;0.46;19.14;6475523.11
30;316.19;0.47;20.36;9713284.66
40;316.19;0.40;20.78;12951046.21
50;316.19;0.32;20.99;16188807.76
10;316.19;0.50;16.56;3237761.55
20;316.19;0.55;19.57;6475523.11
30;316.19;0.37;20.31;9713284.66
40;316.19;0.52;20.81;12951046.21
50;316.19;0.39;20.96;16188807.76
10;316.19;0.50;15.43;3237761.55
20;316.19;0.55;19.51;6475523.11
30;316.19;0.44;20.40;9713284.66
40;316.19;0.50;20.73;12951046.21
50;316.19;0.36;21.04;16188807.76
10;316.19;0.50;15.67;3237761.55
20;316.19;0.66;19.60;6475523.11
30;316.19;0.64;20.34;9713284.66
40;316.19;0.45;20.82;12951046.21
50;316.19;0.35;21.05;16188807.76
10;316.19;0.49;15.35;3237761.55
20;316.19;0.50;19.33;6475523.11
30;316.19;0.51;20.28;9713284.66
40;316.19;0.43;20.76;12951046.21
50;316.19;0.36;21.03;16188807.76
10;316.19;0.49;15.77;3237761.55
20;316.19;0.51;19.36;6475523.11
30;316.19;0.54;20.22;9713284.66
40;316.19;0.38;20.66;12951046.21
50;316.19;0.33;20.99;16188807.76
10;316.19;0.49;15.62;3237761.55
20;316.19;0.48;19.39;6475523.11
30;316.19;0.50;20.35;9713284.66
40;316.19;0.48;20.77;12951046.21
50;316.19;0.34;21.00;16188807.76
10;316.19;0.50;16.12;3237761.55
20;316.19;0.61;19.59;6475523.11
30;316.19;0.45;20.20;9713284.66
40;316.19;0.45;20.77;12951046.21
50;316.19;0.42;21.06;16188807.76
