10;11.70;263.72;0.47;880
20;10.05;263.72;0.00;3187
30;7.28;263.72;0.49;1732
40;7.28;263.72;0.49;2084
50;5.10;263.72;0.00;3187
10;8.06;263.72;0.48;1148
20;9.22;263.72;0.50;1884
30;10.20;263.72;0.50;1925
40;5.10;263.72;0.49;1936
50;2.83;263.72;0.49;1802
10;21.02;263.72;0.49;1352
20;9.90;263.72;0.49;1792
30;3.00;263.72;0.49;1863
40;8.06;263.72;0.49;1888
50;7.81;263.72;0.49;1878
10;21.93;263.72;0.49;1324
20;3.16;263.72;0.49;1757
30;17.69;263.72;0.51;2272
40;9.06;263.72;0.50;2197
50;6.32;263.72;0.00;3187
10;14.76;263.72;0.48;832
20;14.87;263.72;0.50;1983
30;8.06;263.72;0.49;1716
40;6.00;263.72;0.00;3187
50;8.60;263.72;0.49;2218
10;12.17;263.72;0.48;1033
20;17.03;263.72;0.50;2071
30;10.30;263.72;0.50;1943
40;5.83;263.72;0.49;1796
50;8.25;263.72;0.49;2062
10;11.18;263.72;0.47;804
20;4.47;263.72;0.49;1587
30;7.21;263.72;0.00;3187
40;5.00;263.72;0.49;1703
50;5.83;263.72;0.49;1784
10;9.85;263.72;0.47;814
20;5.83;263.72;0.49;1406
30;15.00;263.72;0.50;2268
40;8.60;263.72;0.50;2308
50;4.00;263.72;0.49;1992
10;18.38;263.72;0.49;1183
20;8.60;263.72;0.49;1364
30;13.04;263.72;0.50;2081
40;17.26;263.72;0.51;2129
50;4.12;263.72;0.49;1930
10;8.25;263.72;0.47;815
20;7.21;263.72;0.49;1704
30;4.00;263.72;0.49;1957
40;4.24;263.72;0.49;1928
50;11.66;263.72;0.51;2293
10;18.68;263.72;0.48;1207
20;5.39;263.72;0.49;1612
30;10.00;263.72;0.50;2136
40;6.40;263.72;0.51;2119
50;10.30;263.72;0.50;2140
10;15.30;263.72;0.48;925
20;4.12;263.72;0.49;1670
30;7.07;263.72;0.50;1994
40;13.42;263.72;0.50;2152
50;7.21;263.72;0.50;1877
10;21.95;263.72;0.49;1447
20;3.61;263.72;0.50;1865
30;16.28;263.72;0.50;2076
40;9.85;263.72;0.51;2199
50;2.83;263.72;0.50;2039
10;30.08;263.72;0.49;1559
20;2.24;263.72;0.00;3187
30;8.25;263.72;0.50;1911
40;7.28;263.72;0.50;2199
50;2.83;263.72;0.49;1770
10;13.89;263.72;0.49;1120
20;17.72;263.72;0.49;1686
30;11.40;263.72;0.49;1922
40;4.12;263.72;0.49;1495
50;10.82;263.72;0.50;2215
10;11.66;263.72;0.47;836
20;20.62;263.72;0.50;2149
30;8.25;263.72;0.49;1872
40;7.00;263.72;0.50;2066
50;13.00;263.72;0.00;3187
10;11.05;263.72;0.48;976
20;15.13;263.72;0.50;1902
30;6.00;263.72;0.49;1686
40;9.85;263.72;0.48;2094
50;7.62;263.72;0.50;1943
10;7.81;263.72;0.48;771
20;4.00;263.72;0.00;3187
30;3.61;263.72;0.00;3187
40;2.24;263.72;0.00;3187
50;2.00;263.72;0.49;1919
10;12.81;263.72;0.48;1107
20;10.00;263.72;0.49;1708
30;10.77;263.72;0.50;1847
40;6.08;263.72;0.49;1955
50;7.07;263.72;0.50;2139
10;24.08;263.72;0.49;1346
20;18.38;263.72;0.49;1932
30;3.61;263.72;0.49;1726
40;8.00;263.72;0.50;2211
50;5.00;263.72;0.49;1979
