10;382.08;0.52;14.75;3912486.22
20;328.85;0.73;19.64;6734898.42
30;324.12;0.91;20.71;9957015.04
40;326.03;1.03;21.02;13354322.86
50;322.76;1.24;21.21;16525179.20
