10;316.19;0.49;15.76;3237761.55
20;316.19;0.55;19.43;6475523.11
30;316.19;0.61;20.29;9713284.66
40;316.19;0.48;20.75;12951046.21
50;316.19;0.42;21.00;16188807.76
